,bo,dpo_translation,ref_translation
0,བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ། །,"Bhagavatī, essence of the perfection of wisdom!
","The Heart of the Perfection of Wisdom, the Blessed Mother"
1,༄༅། །​རྒྱ་གར་སྐད་དུ། བྷ་ག་བ་ཏི་པྲ་ཛྙ་པ་ར་མི་ཏཱྀ་ཧྲད་ཡ།,"In the language of India: Bhagavatīprajñāpāramitāhṛdaya.
",In the language of India: Bhagavatī prajñāpāramitā hṛdaya
2,བོད་སྐད་དུ། བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ།,"In the Tibetan language: Bhagavatī Prajñāpāramitāhṛdaya.
","In the language of Tibet: Homage to the Perfection of Wisdom, the Blessed Mother!"
3,བམ་པོ་གཅིག་གོ །​,"One section.
",In a single segment.
4,​འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་རྒོད་ཕུང་པོའི་རི་ལ་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། ​བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ།,"Thus have I heard at one time. The Blessed One was dwelling on Vulture Peak Mountain in Rājagṛha together with a great saṅgha of monks and a great saṅgha of bodhisattvas.
","Thus did I hear at one time.
The Blessed One was residing on Vulture Peak Mountain at Rājagṛha together with a great saṅgha of monks and a great saṅgha of bodhisattvas."
5,དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཟབ་མོ་སྣང་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཀྱི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་སོ། །,"At that time, the Blessed One entered the absorption known as the Dharma discourse called the Appearance of the Profound.
",At that time the Blessed One rested in an absorption on the categories of phenomena called illumination of the profound.
6,​ཡང་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཟབ་མོའི་སྤྱོད་པ་ཉིད་ལ་རྣམ་པར་བལྟ་ཞིང་།,"At that time, the bodhisattva great being noble Avalokiteśvara was looking at the profound conduct of the perfection of insight.
","At the same time, the bodhisattva great being, noble Avalokiteśvara, while practicing the profound perfection of wisdom, looked and saw that the five aggregates are also empty of an intrinsic nature."
7,ཕུང་པོ་ལྔ་པོ་དེ་དག་ལ་ཡང་རང་བཞིན་གྱིས་སྟོང་པར་རྣམ་པར་བལྟའོ། །,"They should also view the five aggregates as empty of inherent existence.
","At the same time, the bodhisattva great being, noble Avalokiteśvara, while practicing the profound perfection of wisdom, looked and saw that the five aggregates are also empty of an intrinsic nature."
8,​དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས། ​ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །​,"Then, through the power of the Buddha, Venerable Śāriputra asked the great bodhisattva noble Avalokiteśvara, ""How should one practice the profound perfection of wisdom?""
","Then, due to the Buddha’s power, venerable Śāriputra asked the bodhisattva great being, noble Avalokiteśvara,"
9,རིགས་ཀྱི་བུ་གང་ལ་ལ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོའི་སྤྱོད་པ་སྤྱད་པར་འདོད་པ་དེས་ཇི་ལྟར་བསླབ་པར་བྱ།,"Noble son, how should those who wish to practice the conduct of the profound perfection of wisdom train?""
",“How should sons of noble family or daughters of noble family train if they wish to engage in the practice of the profound perfection of wisdom?”
